competition_level,tier,mean_survival,std_survival,ate,cohens_d,n_runs
0.00,none,0.732400,0.059047,0.000000,0.000000,20
0.00,basic,0.725200,0.059692,-0.007200,-0.121273,20
0.00,advanced,0.702250,0.065727,-0.030150,-0.482584,20
0.00,premium,0.710900,0.044436,-0.021500,-0.411447,20
0.25,none,0.713350,0.051823,0.000000,0.000000,20
0.25,basic,0.702650,0.037949,-0.010700,-0.235585,20
0.25,advanced,0.700050,0.047977,-0.013300,-0.266335,20
0.25,premium,0.673250,0.034553,-0.040100,-0.910484,20
0.50,none,0.646850,0.079778,0.000000,0.000000,20
0.50,basic,0.663950,0.048356,0.017100,0.259228,20
0.50,advanced,0.646600,0.043336,-0.000250,-0.003894,20
0.50,premium,0.648500,0.046592,0.001650,0.025257,20
0.75,none,0.647900,0.058802,0.000000,0.000000,20
0.75,basic,0.605150,0.063408,-0.042750,-0.699120,20
0.75,advanced,0.617700,0.052044,-0.030200,-0.543892,20
0.75,premium,0.618850,0.059781,-0.029050,-0.489934,20
1.00,none,0.612400,0.069837,0.000000,0.000000,20
1.00,basic,0.553550,0.052110,-0.058850,-0.955137,20
1.00,advanced,0.567750,0.052435,-0.044650,-0.723052,20
1.00,premium,0.530050,0.061679,-0.082350,-1.249920,20
