config,tier,mean_survival,std_survival,ate,cohens_d,ci_lower,ci_upper,n_runs
baseline,none,0.591333,0.067882,0.000000,0.000000,-0.034353,0.034353,30
baseline,basic,0.567000,0.047842,-0.024333,-0.414373,-0.054051,0.005385,30
baseline,advanced,0.541700,0.045679,-0.049633,-0.857880,-0.078912,-0.020354,30
baseline,premium,0.548200,0.054634,-0.043133,-0.700043,-0.074315,-0.011952,30
high_cost,none,0.124700,0.097965,0.000000,0.000000,-0.049577,0.049577,30
high_cost,basic,0.102867,0.076384,-0.021833,-0.248558,-0.066286,0.022620,30
high_cost,advanced,0.098233,0.066859,-0.026467,-0.315579,-0.068909,0.015976,30
high_cost,premium,0.093067,0.067257,-0.031633,-0.376471,-0.074156,0.010890,30
high_noise,none,0.593200,0.074419,0.000000,0.000000,-0.037661,0.037661,30
high_noise,basic,0.548133,0.060361,-0.045067,-0.665135,-0.079356,-0.010778,30
high_noise,advanced,0.554367,0.053101,-0.038833,-0.600715,-0.071548,-0.006118,30
high_noise,premium,0.535267,0.053956,-0.057933,-0.891310,-0.090827,-0.025040,30
high_threshold,none,0.592833,0.069257,0.000000,0.000000,-0.035049,0.035049,30
high_threshold,basic,0.570933,0.064666,-0.021900,-0.326862,-0.055807,0.012007,30
high_threshold,advanced,0.551633,0.050078,-0.041200,-0.681746,-0.071783,-0.010617,30
high_threshold,premium,0.537733,0.063854,-0.055100,-0.827199,-0.088809,-0.021391,30
low_cost,none,0.733367,0.056293,0.000000,0.000000,-0.028488,0.028488,30
low_cost,basic,0.703033,0.046212,-0.030333,-0.589002,-0.056396,-0.004271,30
low_cost,advanced,0.695167,0.050925,-0.038200,-0.711680,-0.065364,-0.011036,30
low_cost,premium,0.662667,0.041536,-0.070700,-1.429213,-0.095734,-0.045666,30
low_noise,none,0.558600,0.077027,0.000000,0.000000,-0.038981,0.038981,30
low_noise,basic,0.551067,0.075183,-0.007533,-0.098979,-0.046051,0.030984,30
low_noise,advanced,0.518367,0.058902,-0.040233,-0.586784,-0.074932,-0.005534,30
low_noise,premium,0.521800,0.064657,-0.036800,-0.517496,-0.072787,-0.000813,30
low_threshold,none,0.612100,0.051556,0.000000,0.000000,-0.026091,0.026091,30
low_threshold,basic,0.580067,0.066071,-0.032033,-0.540559,-0.062023,-0.002044,30
low_threshold,advanced,0.564533,0.058635,-0.047567,-0.861574,-0.075506,-0.019627,30
low_threshold,premium,0.535867,0.047444,-0.076233,-1.538738,-0.101305,-0.051161,30
multi_sector,none,0.613133,0.069940,0.000000,0.000000,-0.035394,0.035394,30
multi_sector,basic,0.545333,0.052497,-0.067800,-1.096444,-0.099093,-0.036507,30
multi_sector,advanced,0.549833,0.060763,-0.063300,-0.966231,-0.096454,-0.030146,30
multi_sector,premium,0.547600,0.042191,-0.065533,-1.134644,-0.094762,-0.036304,30
